,,experiment,sample_tag,treatment,light
MOSAIC-MIME-RNA-Sample1,,1,1,T0,control
MOSAIC-MIME-RNA-Sample2201,,22,1,T0,control
MOSAIC-MIME-RNA-Sample2202,,22,2,T0,control
MOSAIC-MIME-RNA-Sample2207D,,22,7,REF,D
MOSAIC-MIME-RNA-Sample2208L,,22,8,REF,L
MOSAIC-MIME-RNA-Sample2209D,,22,9,N2,D
MOSAIC-MIME-RNA-Sample2210L,,22,10,N2,L
MOSAIC-MIME-RNA-Sample2211D,,22,11,AMM,D
MOSAIC-MIME-RNA-Sample2212L,,22,12,AMM,L
MOSAIC-MIME-RNA-Sample2213D,,22,13,AA,D
MOSAIC-MIME-RNA-Sample2214L,,22,14,AA,L
MOSAIC-MIME-RNA-Sample2215D,,22,15,UREA,D
MOSAIC-MIME-RNA-Sample2216L,,22,16,UREA,L
MOSAIC-MIME-RNA-Sample2217D,,22,17,NIT,D
MOSAIC-MIME-RNA-Sample2218L,,22,18,NIT,L
MOSAIC-MIME-RNA-Sample2801,,28,1,T0,control
MOSAIC-MIME-RNA-Sample3001,,30,1,T0,control
MOSAIC-MIME-RNA-Sample3002,,30,2,T0,control
MOSAIC-MIME-RNA-Sample3007D,,30,7,REF,D
MOSAIC-MIME-RNA-Sample3008L,,30,8,REF,L
MOSAIC-MIME-RNA-Sample3009D,,30,9,N2,D
MOSAIC-MIME-RNA-Sample3010L,,30,10,N2,L
MOSAIC-MIME-RNA-Sample3011D,,30,11,AMM,D
MOSAIC-MIME-RNA-Sample3012L,,30,12,AMM,L
MOSAIC-MIME-RNA-Sample3013D,,30,13,AA,D
MOSAIC-MIME-RNA-Sample3014L,,30,14,AA,L
MOSAIC-MIME-RNA-Sample3015D,,30,15,UREA,D
MOSAIC-MIME-RNA-Sample3016L,,30,16,UREA,L
MOSAIC-MIME-RNA-Sample3017D,,30,17,NIT,D
MOSAIC-MIME-RNA-Sample3018L,,30,18,NIT,L
MOSAIC-MIME-RNA-Sample5,,5,1,T0,control
MOSAIC-MIME-RNA-Sample7,,7,1,T0,control
