,Station,Contents,Station/contents,Code,Date,Sampling_time,Position_N,Position_E/W,Salinity,Water_temp,Ice_depth,Snow_depth,NH4-N,DIN,DIP,DSi,DIN:DIP,C,N,P,C:N,C:P,N:P,Fm,%_Fm_Brown,%_Fm_Green,%_Fm_Blue,Fv/Fm,Bacteria,Cyano1,Cyano2,Cyano3,Chla,Chlb,Chlc2,Allo,Anthera,Buta,Diadino,Diato,Dino,Echi,Fuco,Hexa,Lut,Neo,Peri,Prasino,Viola,Zea,sample_name,latitude,longitude
1,1,Brine,1 Brine,B 01,120803,09:30 - 13:00,N 84o 09.604',E 014o 57.893',14.9,-0.9,2.5,15,0.009,0.75,0.06,3.08,13,104,7,0.81,18,332,19,24,84,12,4,0.7,46,11.8,0,0,0,0,0,0,0,0,11.1467,0,0,0,4.2781,0,4.3011,0,0,0,0,0,Brine-1,84.1600666666667,1.96488333333333
2,10,Brine,10 Brine,B 10,120817,13:00 - 16:00,N 88o 19.509',W 066o 44.409',4.9,-0.5,1.5,3,0.122,1.03,0.09,4.32,12,149,17.8,1.81,10,212,22,46,58,17,25,0.6,255,20.8,0,0,7.3552,0,0,0,0,0,17.0646,4.8804,0,9.5018,7.3153,0,6.414,0,0,0,7.1569,22.5422,Brine-10,88.32515,-6.74015
3,11,Seawater,11 Seawater,S 11,120819,19:30 - 22:00,N 89o 11.388',W 070o 50.089',33.3,-1.5,1.5,10,0.027,0.88,0.25,3.63,3,74,9.9,0.91,9,211,24,86,93,5,2,0.71,100,6.8,0,0,45.1801,22.4497,0,4.0464,1.3023,6.9615,14.0781,0.2073,4.9165,0,30.9989,8.0532,0.6052,5.0557,27.366,25.0414,5.3323,0.2051,Seawater-11,89.1898,-7.83481666666667
4,12,Brine,12 Brine,B 12,120821,15:00 - 18:00,N 89o 56.112',W 073o 41.687',9.4,-0.5,1.5,10,0.083,0.86,0.03,2.57,25,420,37.2,4.61,13,235,18,34,71,17,12,0.7,65,7.9,0,0,6.5223,0,0,0,3.1472,0,27.7484,0.2073,0,8.1338,42.8756,0,3.1089,0,0,0.684,27.5937,27.2963,Brine-12,89.9352,-7.69478333333333
5,13,Seawater,13 Seawater,S 13,120823,10:00 - 13:00,N 89o 50.322',E 135o 55.486',34,-1.5,1.2,10,0.023,0.81,0.18,1.86,5,78,10.1,1.22,9,166,18,103,97,1,2,0.73,299,5.9,0,0,67.6694,41.5522,0,7.8614,0,8.4716,18.8326,2.6954,4.815,0,34.7131,23.2324,3.6918,5.9252,30.3517,30.0192,6.8566,2.7897,Seawater-13,89.8387,13.9247666666667
6,14,Brine,14 Brine,B 14,120825,13:30 - 16:00,N 87o 58.544',E 122o 09.066',2.4,-0.5,1.6,15,0.286,1.56,0.01,1.33,197,117,9.5,0.93,14,323,22,49,62,27,10,0.67,71,5.8,0,0,30.4113,0,0.523,2.8536,4.0178,0,15.6209,4.1724,0,0,17.2454,0,3.5518,0,0,0,15.2768,4.4851,Brine-14,87.9757333333333,12.1511
7,15,Brine,15 Brine,B 15,120828,16:00 - 18:30,N 87o 56.546',E 073o 29.387',6.7,-0.5,1.6,20,0.104,0.98,0.01,0.42,86,192,21.2,1.24,11,399,38,61,49,43,7,0.45,42,4.2,0,0,25.9533,0,0,4.1437,3.2798,0,17.2945,3.5017,0,0,16.2694,0,4.0168,0,0,0,11.7511,3.6467,Brine-15,87.9424333333333,7.48978333333333
8,17,Seawater,17 Seawater,S 17,120830,13:30 - 16:00,N 88o 27.286',E 068o 26.976',35,-1.4,1.1,20,0.064,1.13,0.19,1.48,6,54,5.4,0.95,12,146,13,201,100,0,0,0.64,354,5.8,0,0,80.0732,0,0,0,5.9808,24.0432,41.2801,6.2293,5.8815,0,73.6067,134.5438,0,5.6843,44.7326,26.9556,6.7878,4.9231,Seawater-17,88.4547666666667,6.4496
9,19,Brine,19 Brine,B 19,120902,09:00 - 12:00,N 88o 28.188',E 022o 18.720',18.9,-0.8,1.7,5,0.026,0.8,0.08,2.71,10,107,6.5,1.16,19,238,12,59,69,4,3,0.72,113,7.7,0,0,26.2213,0,0,0,1.9293,12.579,19.0275,0.3686,0,6.7819,36.7009,0,0.3586,0,13.1574,0,5.511,14.1434,Brine-19,88.4698,2.312
10,2,Brine,2 Brine,B 02,120804,09:15 - 12:30,N 85o 18.630',E 006o 47.397',14.8,-0.6,1.6,20,0.074,1.33,0.33,4.66,4,264,23.9,3.38,13,202,16,79,77,16,7,0.5,138,12.2,0,0,9.3372,0,58.8516,0,0,0,61.908,0,0,30.9686,96.1143,0,74.2494,0,5.6998,0,0,72.5645,Brine-2,85.3105,0.78995
